"Taxon","Matched.Taxon"
"Abietinaria","Abietinaria spp."
"Adalaria evincta","Onchidoris evincta"
"Adocia","Adocia sp."
"Aequorea victoria","Aequorea victoria s.lat."
"Aglaophenia","Aglaophenia spp."
"Alcyonium","Alcyonium sp."
"Antho karykina","Antho (Plocamia) karykina"
"Aplysilla","Aplysilla sp."
"Balanophyllia elegans","Balanophyllia (Balanophyllia) elegans"
"Barentsia","Barentsia sp."
"Bougainvillia","Bougainvillia sp."
"Bowerbankia","Bowerbankia sp."
"Caryophyllia alaskensis","Caryophyllia (Caryophyllia) alaskensis"
"Chaetopterus variopedatus","Chaetopterus variopedatus complex"
"Clathria pennata","Clathria (Microciona) pennata"
"Clathrina","Clathrina sp."
"Crepidula nummaria","Crepidula cf nummaria"
"Crisia","Crisia spp."
"Didemnum","Didemnum spp."
"Epigamia alexandri","Epigamia cf alexandri"
"Eumida","Eulalia sp."
"Euphausia","Euphausia spp."
"Euphysa","Euphysa spp."
"Fusinus","Fusinus sp."
"Grammaria","Grammaria spp."
"Halichondria bowerbanki","Halichondria (Halichondria) bowerbanki"
"Halichondria panicea","Halichondria (Halichondria) panicea"
"Halichondria sitiens","Halichondria (Eumastia) sitiens"
"Haliclona","Haliclona (Haliclona) sp."
"Hamigera","Hamigera sp."
"Henricia","Henricia leviuscula complex"
"Henricia leviuscula","Henricia leviuscula complex"
"Hydractinia","Hydractinia sp."
"Lepeophtheirus","Lepeophtheirus sp."
"Lepidochitona","Lepidochitona sp."
"Muggiaea","Muggiaea sp."
"Mycale adhaerens","Mycale (Aegogropila) adhaerens"
"Mytilus edulis","Mytilus edulis complex"
"Myxicola aesthetica","Myxicola sp.A"
"Myxicola infundibulum","Myxicola sp.B"
"Myxilla incrustans","Myxilla (Myxilla) incrustans"
"Myxilla lacunosa","Myxilla (Myxilla) lacunosa"
"Nereis","Nereis sp."
"Nereis zonata","Nereis cf zonata"
"Nitidella","Nitidella sp."
"Obelia","Obelia spp."
"Odostomia","Odostomia sp."
"Oenopota","Oenopota sp."
"Orthopyxis","Orthopyxis sp."
"Pachychalina","Pachychalina sp."
"Pentamera","Pentamera sp."
"Phyllochaetopterus","Phyllochaetopterus sp."
"Pileolaria","Pileolaria spp."
"Pleraplysilla","Pleraplysilla sp."
"Plumularia","Plumularia sp."
"Sarsia","Sarsia spp."
"Selaginopsis","Selaginopsis sp."
"Sertularella","Sertularella sp."
"Solmissus","Solmissus spp."
"Sycon","Sycon spp."
"Tetilla","Tetilla sp."
"Thelepus","Thelepus spp."
"Thuiaria","Thuiaria spp."
"Thuiaria sp.1","Thuiaria spp."
"Tomopteris","Tomopteris sp."
"Tonicella undocaerulea","Tonicella cf undocaerulea"
"Trypanosyllis","Trypanosyllis sp."
"Turbonilla","Turbonilla sp."
"Virgularia","Virgularia sp."
"Abietinaria",""
"Adalaria",""
"Aequorea",""
"Aglaophenia",""
"Amathia",""
"Amphissa",""
"Anoplarchus",""
"Antiopella",""
"Artedius",""
"Axinopsida",""
"Berryteuthis",""
"Calliostoma",""
"Ceramaster",""
"Chlamys",""
"Clinocardium",""
"Crepidula",""
"Crisia",""
"Crucigera",""
"Dendronotus",""
"Didemnum",""
"Diodora",""
"Dodecaceria fewkesi",""
"Epiactis",""
"Eupentacta",""
"Euphausia",""
"Euphysa",""
"Grammaria",""
"Himatina trophina",""
"Iophon",""
"Knoutsodonta jannae",""
"Lepidozona",""
"Leucandra",""
"Lopholithodes foraminatus",""
"Lopholithodes mandtii",""
"Lottia",""
"Macoma",""
"Metridium",""
"Mopalia",""
"Nassarius",""
"Obelia",""
"Oncorhynchus",""
"Orienthella trilineata",""
"Pandalopsis",""
"Pholis",""
"Pododesmus",""
"Psolus",""
"Rhacochilus vacca",""
"Sarsia",""
"Solaster",""
"Solmissus",""
"Spiochaetopterus costarum",""
"Sycon",""
"Thais",""
"Thelepus",""
"Thuiaria",""
"Thuiaria sp.1",""
"Tonicella",""
"Tresus",""
"Urticina",""
"Glyceridae",""
"Polynoidae",""
"Tomopteridae",""
"Sabellida",""
"Sabellidae",""
"Pectinariidae",""
"Amphipoda",""
"Paguridae",""
"Agonidae",""
"Ascidiacea",""
"Polyclinidae",""
"Thaliacea",""
"Actiniaria sp.",""
"incertae sedis",""
"Hydrozoa",""
"Hydroidolina",""
"Ophiuroidea",""
"Cardiidae",""
"Venerida",""
"Aeolidioidea",""
"Dendronotidae",""
