"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters"
"1","Cladonia squamosa",117963,"Cladonia squamosa",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","squamosa","iNat:2561809",48.932763,-123.480663,"2015-07-02",NA,NA,"Lauren Magner","false","research",174
"2","Cladonia scabriuscula",217148,"Cladonia scabriuscula",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","scabriuscula","iNat:2563265",48.928195,-123.470707,"2015-07-08",NA,NA,"Lauren Magner","false","research",97
"3","Cladonia scabriuscula",217148,"Cladonia scabriuscula",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","scabriuscula","iNat:2563273",48.925903,-123.462415,"2015-07-08",NA,NA,"Lauren Magner","false","research",698
"4","Peltigera neopolydactyla",147374,"Peltigera neopolydactyla",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Peltigeraceae","","","Peltigera","neopolydactyla","iNat:2565159",48.932537,-123.478174,"2015-02-12",NA,NA,"Lauren Magner","false","research",161
"5","Lobaria pulmonaria",48711,"Lobaria pulmonaria",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Lobariaceae","","","Lobaria","pulmonaria","iNat:2565168",48.931522,-123.474312,"2015-02-12",NA,NA,"Lauren Magner","false","research",371
"6","Cladonia portentosa",119666,"Cladonia portentosa",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","portentosa","iNat:2566465",48.929041,-123.471479,"2015-03-04",NA,NA,"Andrew Simon","false","research",174
"7","Peltigera membranacea",117858,"Peltigera membranacea",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Peltigeraceae","","","Peltigera","membranacea","iNat:2566495",48.929041,-123.471479,"2015-03-04",NA,NA,"Andrew Simon","false","research",174
"8","Peltigera neopolydactyla",147374,"Peltigera neopolydactyla",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Peltigeraceae","","","Peltigera","neopolydactyla","iNat:2566500",48.929041,-123.471479,"2015-03-04",NA,NA,"Andrew Simon","false","research",174
"9","Cladonia squamosa",117963,"Cladonia squamosa",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","squamosa","iNat:2566605",48.930394,-123.475342,"2015-03-04",NA,NA,"Andrew Simon","false","research",349
"10","Cladonia portentosa",119666,"Cladonia portentosa",NA,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","portentosa","iNat:2567467",48.932492,-123.484526,"2015-04-04",NA,NA,"Andrew Simon","false","research",87
